frame_id,det_index,confidence,x,y,width,height_px
21,1,0.6245,12.8,4.5,1907.2,1056.0
25,1,0.4153,0.0,1.5,1903.5,1064.2
26,1,0.4785,0.0,2.2,1911.0,1062.8
27,1,0.7432,10.5,5.6,1891.5,1057.1
34,1,0.4639,27.0,2.6,1869.0,1060.1
34,2,0.2678,803.2,2.2,1115.2,1057.5
36,1,0.645,516.8,2.2,1397.2,1061.2
38,1,0.8677,146.2,4.1,1761.8,1060.9
39,1,0.5552,1150.5,2.2,769.5,1059.0
47,1,0.3271,765.4,896.2,79.9,174.8
50,1,0.3616,0.0,900.0,52.6,177.8
69,1,0.8618,69.0,748.5,588.4,322.5
70,1,0.5728,453.0,1011.0,327.8,69.0
78,1,0.3933,1329.0,596.2,60.0,129.8
85,1,0.4858,1660.5,906.0,72.0,160.5
103,1,0.644,0.8,9.8,1528.5,1050.8
114,1,0.3425,571.5,666.0,56.2,171.8
116,1,0.5518,573.8,666.0,53.2,169.5
118,1,0.4849,574.1,666.8,52.9,168.8
118,2,0.4736,575.2,668.2,57.0,168.8
119,1,0.5459,575.2,668.2,57.8,168.0
120,1,0.498,573.8,666.8,53.2,168.8
120,2,0.4302,574.9,667.5,57.8,168.8
121,1,0.9116,0.2,471.0,296.4,598.5
121,2,0.302,327.8,918.8,71.2,161.2
122,1,0.9194,0.0,478.5,356.2,592.5
122,2,0.5107,378.0,924.0,75.4,156.0
122,3,0.4683,380.1,923.2,128.8,154.5
123,1,0.9302,0.4,476.2,371.1,594.8
123,2,0.5088,383.8,925.5,75.9,153.8
123,3,0.4839,384.8,924.8,133.5,153.8
124,1,0.9312,0.2,477.0,386.8,594.0
124,2,0.5747,384.0,925.5,75.0,154.5
124,3,0.4004,385.1,924.8,134.2,153.8
126,1,0.9268,588.0,690.0,257.2,387.8
126,2,0.9233,822.0,486.0,483.8,585.0
126,3,0.917,0.0,826.5,274.9,249.0
126,4,0.6714,1304.2,931.5,68.2,147.8
126,5,0.251,1305.0,928.5,133.5,150.0
127,1,0.9282,568.9,688.5,274.9,388.5
127,2,0.9219,827.2,485.2,479.2,585.8
127,3,0.9082,6.0,827.2,280.1,249.0
127,4,0.4143,1293.0,925.5,146.2,152.2
127,5,0.406,1292.2,928.5,81.0,150.8
128,1,0.9287,576.8,687.8,267.8,389.2
128,2,0.9258,818.2,484.5,488.2,586.5
128,3,0.9082,13.1,828.0,288.6,247.5
129,1,0.9297,552.8,686.2,294.0,391.5
129,2,0.9268,817.5,485.2,489.8,585.8
129,3,0.9082,7.7,827.2,283.7,249.0
130,1,0.9272,1393.5,693.0,315.0,385.5
130,2,0.9043,906.8,831.0,205.5,246.0
130,3,0.8794,1689.0,477.0,231.0,599.2
130,4,0.6602,416.2,861.0,55.1,122.2
134,1,0.4253,1487.2,851.2,179.2,227.2
135,1,0.7168,1407.0,854.2,184.5,224.2
136,1,0.4995,1383.0,823.5,196.5,253.5
137,1,0.8081,1420.5,790.5,336.0,284.2
138,1,0.4238,1465.5,804.8,219.0,270.8
139,1,0.5991,1482.8,822.0,191.2,255.8
140,1,0.7168,1500.0,820.5,186.0,257.2
141,1,0.6758,1536.0,816.8,196.5,261.0
142,1,0.5869,1512.8,815.2,245.2,262.5
143,1,0.6611,1590.0,813.0,201.0,264.8
144,1,0.6807,1587.0,808.5,201.0,269.2
145,1,0.7227,1554.0,819.8,202.5,257.2
146,1,0.5352,1458.8,786.0,248.2,290.2
146,2,0.4624,1457.2,786.0,278.2,290.2
147,1,0.7637,1484.2,791.2,243.8,285.0
148,1,0.6665,1617.0,753.0,270.0,322.5
149,1,0.8999,1548.0,603.8,372.0,468.8
150,1,0.5439,1672.5,566.2,247.5,509.2
151,1,0.8838,1545.0,592.5,375.0,480.8
153,1,0.876,1545.0,594.0,375.0,480.0
154,1,0.8203,1543.5,591.0,376.5,482.2
155,1,0.6421,1528.5,591.0,391.5,481.5
156,1,0.7622,1529.2,589.5,390.8,483.0
157,1,0.7578,1528.5,591.0,391.5,481.5
158,1,0.7515,1528.5,591.8,391.5,480.0
159,1,0.7891,1527.8,592.5,392.2,480.0
160,1,0.749,1527.0,591.8,393.0,480.8
160,2,0.5776,443.6,1027.5,104.6,51.8
161,1,0.7637,1527.8,594.0,392.2,478.5
162,1,0.5933,1526.2,592.5,393.8,480.0
162,2,0.3381,487.9,1006.5,130.5,72.8
163,1,0.5474,1524.8,591.8,395.2,480.8
163,2,0.3098,506.2,1025.2,116.2,53.2
164,1,0.6787,1524.0,592.5,396.0,480.0
164,2,0.4644,494.2,975.0,148.1,103.5
164,3,0.3225,499.1,975.8,143.6,103.5
164,4,0.2937,495.0,975.8,148.1,104.2
165,1,0.4387,551.6,985.5,153.8,93.0
165,2,0.384,1524.0,594.8,396.0,480.0
165,3,0.3662,552.0,986.2,155.2,93.8
166,1,0.8042,589.5,967.5,170.2,111.8
166,2,0.304,1524.0,609.8,396.0,465.8
167,1,0.8428,621.0,909.8,191.2,169.5
167,2,0.4451,1524.0,717.0,396.0,357.8
168,1,0.8794,718.5,896.2,223.5,182.2
168,2,0.6006,1524.0,708.8,396.0,365.2
169,1,0.8716,786.8,829.5,244.5,247.5
169,2,0.45,1524.0,688.5,396.0,387.0
170,1,0.8682,897.0,768.0,291.8,307.5
170,2,0.5322,1524.0,696.0,396.0,378.8
171,1,0.8726,1257.0,807.8,345.0,270.0
171,2,0.4766,1567.5,705.0,352.5,370.5
172,1,0.7476,1656.0,655.5,264.0,419.2
178,1,0.8882,1114.5,3.8,805.5,1059.8
180,1,0.7271,1356.0,3.8,564.0,1064.2
181,1,0.9243,0.0,6.0,1918.5,1054.5
182,1,0.9277,377.2,3.0,1536.8,1059.0
183,1,0.9277,703.5,3.8,1215.0,1062.0
184,1,0.9458,691.5,1.5,1225.5,1060.5
185,1,0.8335,1191.8,11.2,728.2,1051.5
186,1,0.7041,1320.0,9.8,600.0,1053.8
187,1,0.772,1398.8,8.2,521.2,1056.0
188,1,0.7959,1551.0,15.8,369.0,1049.2
189,1,0.5254,1320.0,49.5,600.0,1014.8
190,1,0.9365,1167.0,3.0,753.0,1061.2
191,1,0.937,1001.2,2.6,918.8,1060.9
192,1,0.9385,826.5,2.2,1093.5,1061.2
193,1,0.9443,792.0,3.0,1128.0,1059.8
194,1,0.9395,798.0,2.2,1122.0,1061.2
195,1,0.9414,800.2,2.2,1119.8,1060.5
196,1,0.9434,786.8,2.2,1133.2,1062.8
197,1,0.9399,813.0,1.5,1107.0,1063.5
198,1,0.9429,826.5,1.9,1093.5,1063.1
199,1,0.9404,807.0,1.5,1113.0,1063.5
200,1,0.9307,791.2,1.5,1128.8,1062.0
201,1,0.9316,497.2,3.0,1421.2,1059.8
202,1,0.9351,503.2,3.0,1415.2,1062.0
203,1,0.9341,499.5,2.6,1414.5,1058.6
204,1,0.9097,500.2,2.2,1416.8,1059.0
205,1,0.9224,498.0,2.2,1417.5,1059.0
206,1,0.896,781.5,804.8,84.0,255.0
206,2,0.6943,1878.0,781.5,42.0,199.5
206,3,0.6626,1773.0,781.5,93.0,188.2
206,4,0.626,708.0,786.0,60.8,174.0
206,5,0.5352,1773.0,780.8,93.0,201.8
207,1,0.8794,786.8,804.8,89.2,249.0
207,2,0.6489,1756.5,777.0,79.5,190.5
207,3,0.3491,1875.0,777.0,45.0,205.5
207,4,0.335,1870.5,777.8,49.5,207.8
207,5,0.269,711.0,784.5,56.6,171.0
208,1,0.8628,792.8,804.8,79.5,242.2
208,2,0.4441,1755.0,767.2,81.0,200.2
208,3,0.3201,718.5,783.8,49.5,171.0
208,4,0.3052,1863.0,775.5,57.0,207.0
209,1,0.876,790.5,801.0,87.8,241.5
209,2,0.6113,1866.0,776.2,54.0,205.5
209,3,0.3857,718.9,783.8,49.9,172.5
209,4,0.2825,1752.0,747.0,91.5,220.5
210,1,0.8677,1614.0,804.0,91.5,237.8
210,2,0.8647,468.8,834.0,111.0,155.2
210,3,0.8594,541.1,802.5,67.5,117.0
210,4,0.8369,218.2,804.0,71.2,174.8
210,5,0.8193,562.9,846.8,139.5,146.2
210,6,0.7593,310.5,844.5,110.6,138.8
210,7,0.4307,1526.2,780.8,54.8,165.8
211,1,0.8716,1617.0,802.5,90.0,234.8
211,2,0.8608,466.1,838.5,111.4,153.8
211,3,0.8545,541.1,809.2,66.4,111.8
211,4,0.8276,561.8,850.5,137.6,146.2
211,5,0.8242,210.8,805.5,92.6,174.8
211,6,0.7925,311.6,847.5,107.6,138.8
211,7,0.4316,1526.2,787.5,53.2,170.2
212,1,0.8677,477.0,837.0,104.6,154.5
212,2,0.8613,1642.5,794.2,81.0,235.5
212,3,0.8286,555.0,805.5,63.0,118.5
212,4,0.8169,571.5,848.2,135.4,147.0
212,5,0.8154,323.8,844.5,106.7,140.2
212,6,0.8135,215.2,807.8,78.4,174.0
212,7,0.5581,1540.5,785.2,48.0,171.8
213,1,0.8594,474.8,836.2,108.8,156.0
213,2,0.8486,1651.5,795.8,81.0,231.8
213,3,0.8438,554.6,803.2,72.4,128.2
213,4,0.8101,218.1,807.8,74.8,173.2
213,5,0.8086,324.4,844.5,108.0,140.2
213,6,0.6772,576.0,847.5,130.5,147.0
213,7,0.6162,1548.0,785.2,40.5,166.5
213,8,0.4321,575.2,847.5,130.1,147.0
214,1,0.8608,1287.8,843.8,110.2,153.8
214,2,0.855,1036.5,810.0,72.0,173.2
214,3,0.8271,1392.8,855.0,131.2,147.0
214,4,0.8237,1365.0,813.0,78.8,137.2
214,5,0.731,1144.5,849.8,105.0,138.8
214,6,0.4644,0.0,2.6,1007.2,1055.6
215,1,0.8901,1306.5,843.8,111.0,152.2
215,2,0.8672,1372.5,807.8,89.2,149.2
215,3,0.7178,1411.5,852.8,130.5,148.5
215,4,0.4431,1163.2,851.2,102.0,135.0
215,5,0.4341,221.2,4.5,987.8,1056.8
216,1,0.8813,1305.8,842.2,111.0,154.5
216,2,0.8384,1056.0,816.0,72.0,167.2
216,3,0.8335,1377.0,811.5,90.0,144.8
216,4,0.6226,1161.0,854.2,109.5,133.5
216,5,0.5239,1410.8,855.0,131.2,147.0
216,6,0.4785,187.5,3.0,968.2,1059.0
216,7,0.2629,1110.0,854.2,163.5,136.5
216,8,0.259,1412.2,856.5,131.2,144.8
217,1,0.8564,1305.8,843.0,110.2,153.8
217,2,0.8408,1056.8,807.8,72.0,175.5
217,3,0.8037,1412.2,855.8,129.8,145.5
217,4,0.6504,1161.0,854.2,109.5,133.5
217,5,0.6123,1413.8,807.8,102.8,120.0
217,6,0.4888,156.0,3.0,977.2,1059.0
217,7,0.2776,1112.2,853.5,161.2,137.2
218,1,0.8159,1870.5,810.8,49.5,174.8
218,2,0.7969,983.2,2.6,936.8,1061.6
219,1,0.8418,1009.5,1.9,910.5,1063.1
220,1,0.6953,553.1,3.8,1150.9,1058.2
221,1,0.4771,37.5,1.5,1102.5,1057.5
222,1,0.6133,556.5,26.6,997.5,1033.9
223,1,0.8579,570.0,1.9,1251.0,1060.1
224,1,0.8604,567.8,54.4,1349.2,1007.6
227,1,0.5283,43.4,727.5,37.4,44.2
228,1,0.4795,53.2,729.0,39.7,42.8
229,1,0.3784,83.2,731.2,36.7,39.0
237,1,0.4829,1834.5,458.2,85.5,621.8
238,1,0.4172,1834.5,456.8,85.5,623.2
239,1,0.4697,1834.5,456.0,85.5,624.0
240,1,0.4604,1834.5,462.0,85.5,618.0
244,1,0.6279,1834.5,555.8,85.5,188.2
244,2,0.4937,1750.5,600.8,103.5,138.8
245,1,0.8188,1473.0,528.0,73.5,172.5
245,2,0.7725,1552.5,572.2,105.0,133.5
245,3,0.6885,1806.0,581.2,114.0,138.8
245,4,0.6143,1791.0,526.5,111.0,188.2
245,5,0.3735,1791.0,525.8,102.0,181.5
245,6,0.2534,1792.5,525.8,102.0,147.8
246,1,0.8477,1472.2,525.8,75.8,172.5
246,2,0.8159,1554.0,570.0,105.0,134.2
246,3,0.6768,1806.0,579.8,114.0,139.5
246,4,0.6514,1789.5,525.8,115.5,187.5
246,5,0.3376,1791.0,524.2,103.5,182.2
247,1,0.8535,1671.0,570.8,135.0,143.2
247,2,0.8311,1471.5,524.2,78.0,174.8
247,3,0.8062,1555.5,570.0,112.5,134.2
247,4,0.7393,1768.5,524.2,106.5,186.0
247,5,0.7192,1809.0,577.5,111.0,140.2
247,6,0.6733,1768.5,525.0,106.5,181.5
248,1,0.8232,711.4,541.5,72.4,165.0
248,2,0.7642,908.2,582.8,125.2,137.2
248,3,0.6992,987.0,536.2,115.5,174.0
248,4,0.6772,987.0,536.2,113.2,160.5
248,5,0.5869,795.0,582.0,111.8,134.2
248,6,0.4688,1038.8,591.0,132.0,138.8
248,7,0.396,0.0,6.8,194.2,905.2
249,1,0.9404,692.2,204.0,1041.8,862.5
249,2,0.8164,684.0,523.5,77.2,173.2
249,3,0.7305,1012.5,573.0,126.0,138.0
249,4,0.605,764.6,567.8,114.4,135.0
249,5,0.5234,957.8,519.0,90.8,182.2
249,6,0.3694,883.5,560.2,133.5,148.5
249,7,0.3491,957.8,517.5,93.0,125.2
249,8,0.3386,952.5,518.2,97.5,185.2
250,1,0.8765,883.5,566.2,134.2,144.0
250,2,0.8496,1013.2,576.0,129.8,138.8
250,3,0.8335,683.6,522.8,72.8,174.8
250,4,0.833,974.2,521.2,76.5,149.2
250,5,0.6626,766.1,564.8,103.9,138.0
251,1,0.8872,884.2,564.8,133.5,147.0
251,2,0.8633,681.8,522.0,84.0,176.2
251,3,0.8545,1013.2,576.0,129.8,140.2
251,4,0.8223,976.5,522.8,75.0,147.8
251,5,0.7324,765.4,565.5,103.1,138.0
251,6,0.2878,720.8,564.8,150.8,140.2
252,1,0.9321,1579.5,387.0,340.5,683.2
252,2,0.9209,1412.2,496.5,129.8,468.8
252,3,0.8252,208.5,578.2,134.8,139.5
252,4,0.7944,166.8,526.5,80.2,152.2
252,5,0.7773,0.5,570.0,64.4,141.0
252,6,0.6289,1179.8,505.5,48.0,174.8
252,7,0.5371,75.9,570.8,136.3,144.8
253,1,0.9136,1478.2,498.0,164.2,466.5
253,2,0.8467,1659.0,396.0,261.0,678.0
253,3,0.8076,1800.0,517.5,66.0,178.5
253,4,0.79,77.6,567.0,135.4,149.2
253,5,0.7793,0.6,573.0,66.0,138.0
253,6,0.7646,166.9,529.5,79.1,152.2
253,7,0.7271,208.9,579.0,135.0,139.5
253,8,0.4829,1182.8,507.0,45.0,186.0
253,9,0.3635,210.8,580.5,132.4,138.0
254,1,0.9204,1560.0,494.2,171.0,467.2
254,2,0.8945,1728.0,480.0,192.0,592.5
254,3,0.8174,81.0,564.0,134.3,150.8
254,4,0.7656,1797.0,515.2,70.5,158.2
254,5,0.7485,213.0,576.0,135.0,141.0
254,6,0.7305,168.8,525.8,82.9,163.5
254,7,0.6733,0.5,572.2,65.9,138.0
254,8,0.4368,1896.0,501.0,24.0,135.8
255,1,0.9087,1572.0,494.2,160.5,471.0
255,2,0.8447,78.1,565.5,135.2,150.0
255,3,0.8198,1732.5,438.8,187.5,635.2
255,4,0.7612,0.6,571.5,66.0,138.8
255,5,0.7598,209.8,578.2,134.8,139.5
255,6,0.7446,168.2,525.8,86.1,158.2
255,7,0.7178,1786.5,517.5,72.0,162.0
255,8,0.3271,212.1,579.8,132.4,138.8
256,1,0.9331,866.2,447.0,447.8,624.0
256,2,0.9116,764.6,498.0,159.4,464.2
256,3,0.9067,1543.5,502.5,99.0,282.0
256,4,0.8838,1460.2,518.2,99.8,277.5
256,5,0.4475,1004.2,504.8,40.5,127.5
256,6,0.2996,900.0,519.8,67.5,158.2
257,1,0.939,915.0,429.0,471.0,641.2
257,2,0.915,824.2,484.5,145.5,462.0
257,3,0.8848,1353.8,516.8,123.0,261.8
257,4,0.8726,1466.2,494.2,113.2,277.5
257,5,0.8271,993.8,495.8,59.2,153.8
257,6,0.4436,1071.0,492.8,45.8,111.8
258,1,0.9253,860.2,486.0,179.2,460.5
258,2,0.915,1085.2,432.0,261.0,641.2
258,3,0.8218,1406.2,491.2,79.5,278.2
258,4,0.8042,1311.0,521.2,102.0,255.0
258,5,0.7822,1068.8,492.0,67.5,186.0
258,6,0.6235,993.0,496.5,57.8,220.5
258,7,0.5264,992.2,496.5,57.0,219.8
258,8,0.4819,857.2,509.2,57.8,100.5
259,1,0.9214,885.0,489.0,182.2,450.0
259,2,0.9214,1083.0,447.8,284.2,625.5
259,3,0.8232,1050.8,492.0,72.0,184.5
259,4,0.7568,1346.2,500.2,74.2,266.2
259,5,0.5479,994.5,498.0,71.2,83.2
259,6,0.407,858.0,504.0,60.8,223.5
259,7,0.3459,858.0,505.5,60.0,211.5
259,8,0.3015,858.8,505.5,58.5,112.5
260,1,0.9238,219.9,418.5,336.9,654.0
260,2,0.9209,59.4,484.5,183.4,457.5
260,3,0.8032,1256.2,468.0,78.0,227.2
260,4,0.7861,511.1,491.2,113.2,272.2
260,5,0.7129,1355.2,489.8,47.2,198.8
260,6,0.4912,254.4,489.8,82.5,113.2
260,7,0.4006,1223.2,507.0,50.2,168.0
260,8,0.3979,198.4,492.0,77.2,213.0
260,9,0.3496,1226.2,507.0,48.8,169.5
261,1,0.9331,91.9,436.5,440.6,635.2
261,2,0.8789,58.8,486.0,149.3,448.5
261,3,0.8408,441.8,490.5,90.8,265.5
261,4,0.8311,1264.5,459.0,77.2,228.0
261,5,0.7754,187.1,490.5,56.2,120.8
261,6,0.7671,230.2,488.2,64.5,94.5
261,7,0.7534,1206.8,498.0,54.0,179.2
261,8,0.3293,54.8,501.8,60.7,115.5
262,1,0.9321,223.3,429.0,337.7,643.5
262,2,0.9209,3.4,490.5,181.5,441.8
262,3,0.8369,1294.5,457.5,78.0,225.0
262,4,0.7754,1206.8,498.0,57.0,180.8
262,5,0.7695,229.9,487.5,68.2,192.8
262,6,0.7505,305.1,513.8,62.2,81.0
262,7,0.7378,185.1,492.0,61.9,220.5
262,8,0.7358,1265.2,491.2,45.8,188.2
262,9,0.3081,86.4,500.2,41.8,101.2
263,1,0.9351,258.4,430.5,356.2,642.8
263,2,0.8242,1264.5,493.5,61.5,187.5
263,3,0.8032,0.0,493.5,80.2,438.0
263,4,0.7812,1206.0,497.2,55.5,183.8
263,5,0.7559,1317.0,468.0,66.0,213.8
263,6,0.7334,56.7,500.2,72.9,222.0
263,7,0.7041,227.1,488.2,46.3,181.5
263,8,0.5435,185.3,491.2,62.9,224.2
263,9,0.4971,186.5,492.0,60.3,221.2
263,10,0.2549,1167.8,504.8,30.0,158.2
264,1,0.8438,370.1,481.5,58.1,194.2
264,2,0.8433,305.1,492.8,60.4,185.2
264,3,0.7808,420.8,451.5,68.6,222.0
264,4,0.4167,265.1,489.8,31.5,177.0
265,1,0.8892,1411.5,577.5,238.5,498.0
265,2,0.8521,315.0,498.0,60.6,186.0
265,3,0.8457,374.8,489.8,67.3,194.2
265,4,0.8086,265.7,498.0,46.1,186.8
265,5,0.6909,416.2,459.8,60.8,219.0
265,6,0.3679,462.4,477.0,25.9,160.5
266,1,0.8853,828.0,573.8,286.5,499.5
266,2,0.8491,330.2,499.5,58.7,187.5
266,3,0.8345,383.4,490.5,66.9,192.8
266,4,0.7812,264.9,495.8,54.8,189.8
266,5,0.7549,447.4,478.5,42.4,193.5
267,1,0.9043,356.4,609.0,333.6,465.8
267,2,0.8008,266.1,496.5,57.8,191.2
267,3,0.8008,333.6,499.5,59.1,166.5
267,4,0.7891,435.4,475.5,51.8,135.8
267,5,0.7739,384.4,489.0,53.6,135.8
268,1,0.6177,783.0,3.4,663.8,1059.4
269,1,0.2966,783.0,3.4,665.2,1059.4
270,1,0.3345,783.8,3.0,662.2,1059.8
271,1,0.2966,0.6,1.9,576.9,1060.1
274,1,0.2866,0.4,1.9,577.5,1060.1
275,1,0.3074,0.4,1.5,577.1,1061.2
276,1,0.2732,0.4,2.2,577.9,1060.5
282,1,0.644,3.4,150.0,132.9,415.5
295,1,0.3525,1151.2,794.2,42.0,87.0
301,1,0.269,1839.0,570.8,42.0,39.0
309,1,0.2583,0.0,18.8,384.8,1047.8
