frame_id,det_index,confidence,x,y,width,height_px
151,1,0.9556,1095.0,1.5,825.0,1062.8
152,1,0.9565,945.0,10.5,975.0,1055.2
153,1,0.9468,955.5,122.2,921.0,945.0
154,1,0.9404,1000.5,264.0,759.0,802.5
155,1,0.9312,806.2,332.2,764.2,736.5
156,1,0.9375,700.5,309.0,706.5,759.0
157,1,0.939,585.4,269.6,754.1,798.4
158,1,0.9419,464.2,253.9,791.2,812.6
159,1,0.9404,423.8,264.8,807.0,801.8
160,1,0.9355,569.2,266.2,825.8,800.2
161,1,0.937,638.2,278.2,828.8,788.2
162,1,0.9395,636.8,273.4,843.0,793.9
163,1,0.9434,601.5,279.0,891.0,788.2
164,1,0.9438,578.6,267.0,966.4,801.0
165,1,0.936,594.4,280.9,992.6,786.4
166,1,0.9336,575.2,280.5,1023.8,786.0
167,1,0.9302,598.9,295.1,1010.6,771.4
168,1,0.9287,612.8,293.2,1008.8,773.2
169,1,0.9302,620.2,292.1,1008.8,773.6
170,1,0.9365,576.4,289.9,1049.6,776.6
171,1,0.9355,570.4,295.1,1013.6,771.4
172,1,0.9385,577.1,297.0,991.9,769.5
173,1,0.9365,560.2,295.9,1011.8,770.6
174,1,0.9409,534.8,292.1,1032.8,775.1
175,1,0.9395,530.6,294.4,1033.9,772.1
176,1,0.937,546.4,293.2,1024.1,777.0
177,1,0.9331,603.0,298.1,993.0,770.6
178,1,0.9302,610.5,301.5,972.0,768.0
179,1,0.9316,630.4,314.2,929.6,754.5
180,1,0.9219,651.0,311.2,972.0,758.2
181,1,0.936,675.0,302.2,1032.0,767.2
182,1,0.9321,574.9,294.0,1060.1,775.5
183,1,0.9341,569.6,291.4,1050.4,778.1
184,1,0.9326,576.0,288.0,1047.0,781.5
185,1,0.9302,579.8,287.2,1052.2,782.2
186,1,0.9302,586.1,287.2,1047.4,782.2
187,1,0.9326,595.5,288.4,1047.0,781.1
188,1,0.9336,601.5,294.0,1042.5,775.5
189,1,0.9331,601.5,295.9,1045.5,772.9
190,1,0.9336,600.8,295.5,1047.8,773.2
191,1,0.937,603.8,294.0,1047.8,774.8
192,1,0.9375,610.5,294.0,1048.5,775.5
193,1,0.938,618.8,294.4,1044.8,775.1
194,1,0.937,620.6,294.8,1041.4,774.8
195,1,0.9365,610.5,297.0,1042.5,771.0
196,1,0.9302,593.6,291.0,1048.9,777.8
197,1,0.937,579.4,216.4,1064.6,851.6
198,1,0.9385,563.2,240.8,1065.8,827.2
199,1,0.9365,572.2,290.6,1029.8,778.9
200,1,0.939,570.8,292.5,1022.2,777.0
201,1,0.9365,573.8,291.0,1022.2,778.5
202,1,0.9375,624.0,300.8,1023.0,768.8
203,1,0.939,642.0,293.2,1030.5,776.2
204,1,0.937,570.8,297.8,1031.2,771.8
205,1,0.9346,578.6,294.8,1048.9,773.2
206,1,0.9321,597.0,293.6,1056.0,774.4
207,1,0.9312,587.2,305.2,1043.2,763.5
208,1,0.9302,599.2,300.0,1038.8,768.8
209,1,0.9282,605.2,297.0,1041.8,771.8
210,1,0.9355,554.2,299.2,1077.8,770.2
211,1,0.9448,600.8,305.2,884.2,759.8
212,1,0.9448,531.0,297.0,949.5,769.5
213,1,0.9429,586.1,286.9,889.1,778.9
214,1,0.9321,597.0,269.2,862.5,796.5
215,1,0.9375,590.2,237.4,892.5,827.6
216,1,0.938,608.2,291.4,884.2,774.4
217,1,0.937,614.2,312.4,883.5,753.4
218,1,0.9404,605.2,304.1,898.5,761.6
219,1,0.9365,614.2,306.8,912.0,758.2
220,1,0.9385,607.5,306.8,923.2,759.0
221,1,0.939,598.5,304.5,916.5,760.5
222,1,0.9424,576.4,306.0,925.1,760.5
223,1,0.9438,573.8,303.0,942.8,762.0
224,1,0.9443,596.6,306.4,927.4,758.6
225,1,0.9458,597.4,301.5,923.6,763.5
226,1,0.9438,603.8,297.4,924.8,768.4
227,1,0.9453,591.8,302.2,931.5,763.5
228,1,0.9438,591.8,304.5,968.2,761.2
229,1,0.9429,596.2,305.2,978.8,760.5
230,1,0.9419,606.0,300.0,951.0,765.8
231,1,0.9429,593.2,297.8,956.2,768.0
232,1,0.9443,580.5,299.2,960.0,767.2
233,1,0.9424,570.8,302.2,972.8,763.5
234,1,0.9399,594.8,301.9,953.2,764.6
235,1,0.939,620.2,306.0,921.8,760.5
236,1,0.9399,629.6,306.0,901.9,760.5
237,1,0.9395,630.8,305.6,899.2,760.9
238,1,0.9399,631.9,309.0,901.1,757.5
239,1,0.939,632.2,313.5,921.8,753.0
240,1,0.9336,651.8,307.9,912.8,758.6
241,1,0.5767,652.9,305.2,923.6,761.2
241,2,0.5635,652.1,304.9,924.4,761.6
242,1,0.9365,607.5,304.1,969.0,762.4
243,1,0.9385,607.5,304.1,1081.5,763.1
244,1,0.9341,643.5,314.6,969.0,752.6
245,1,0.9341,600.0,303.4,1099.5,763.1
246,1,0.9414,614.2,300.8,1074.8,765.8
247,1,0.9385,669.8,299.2,1019.2,770.2
248,1,0.9341,714.0,306.8,895.5,761.2
249,1,0.9312,699.0,297.0,862.5,771.0
250,1,0.9287,711.0,294.0,814.5,771.0
251,1,0.9316,687.8,294.0,852.8,774.0
252,1,0.9287,718.5,294.8,801.0,772.5
253,1,0.8735,709.1,299.2,834.4,768.0
254,1,0.9321,735.0,300.8,804.0,767.2
255,1,0.937,725.2,291.0,837.8,777.0
256,1,0.9346,740.6,289.1,781.9,779.6
257,1,0.8682,745.1,294.0,765.4,775.5
258,1,0.9067,734.6,296.6,772.1,771.4
259,1,0.9307,733.5,294.0,859.5,774.0
260,1,0.9346,735.0,295.5,847.5,772.5
261,1,0.9331,732.0,293.2,852.0,774.8
262,1,0.9365,730.5,293.2,822.0,774.8
263,1,0.9326,718.9,292.5,820.1,775.5
264,1,0.9326,708.8,293.2,848.2,774.8
265,1,0.9268,709.5,293.2,808.5,774.8
